key_type,key,service,provider,affiliate,note,sort,source,checked_at
occ_category,不動産,リアルエステートWORKS,リアルエステートWORKS,https://px.a8.net/svt/ejp?a8mat=4B5R02+90HJI2+4XWQ+BW0YB&a8ejpredirect=https%3A%2F%2Frealestateworks.jp%2Fjinzai%2Flp%2Fver6bageNORs,不動産業界特化型の転職エージェント。無料相談,1,A8.net,2026-07-18
occ_category,福祉・介護・心理,介護JJ,介護JJ,https://px.a8.net/svt/ejp?a8mat=4B5R02+929UBE+2YJA+ZPD5F&a8ejpredirect=https%3A%2F%2Fkaigojj.com%2Fregister_lp,介護職・福祉専門の転職サイト。お祝い金あり,1,A8.net,2026-07-18
occ_category,IT・情報処理,ウズカレIT,ウズカレIT,https://px.a8.net/svt/ejp?a8mat=4B5TC7+56YERE+5POQ+BW0YB&a8ejpredirect=https%3A%2F%2Fuzuz-college.jp%2Fit-shushoku%2F%3F,1ヶ月のオンライン研修つき。未経験からITエンジニア就職,1,A8.net,2026-07-18
occ_category,IT・情報処理,TECH-BASE 就活エージェント,TECH-BASE,https://px.a8.net/svt/ejp?a8mat=4B5UW5+6D86PM+4RIG+TR13N&a8ejpredirect=https%3A%2F%2Fengineer-shukatu.jp%2Fmendan-lp%2F,IT業界志望の新卒学生向け就活エージェント,2,A8.net,2026-07-18
